"id","month","year","caBrut","commissions","activeProperties","totalNights","newSignatures","lostProperties","netProfit","notes","targetMargin","createdAt","updatedAt","isPlaceholder"
"1","8","2025","979.41","195.5","6","93","0","0","783.91","","0","2026-03-17T19:25:41.499+00:00","2026-03-17T22:33:20.146+00:00","0"
"2","9","2025","1309.57","240.97","6","102","0","0","1068.6","","0","2026-03-17T19:28:03.277+00:00","2026-03-17T22:35:43.438+00:00","0"
"3","10","2025","1312.98","319.18","6","128","0","0","993.8","","0","2026-03-17T22:27:13.903+00:00","2026-03-17T22:39:19.732+00:00","0"
"4","11","2025","1257.43","339.76","6","114","0","0","917.67",,,"2026-03-17T22:41:57.591+00:00","2026-03-17T22:41:57.591+00:00","0"
"5","12","2025","1359.94","320.86","7","115","1","0","1039.08",,,"2026-03-17T22:45:18.237+00:00","2026-03-17T22:45:18.237+00:00","0"
"6","1","2026","790.38","316.06","7","81","0","0","474.32",,,"2026-03-17T22:48:45.676+00:00","2026-03-17T22:48:45.676+00:00","0"
"7","2","2026","1235.55","318.48","7","123","0","0","917.07",,,"2026-03-17T22:51:11.860+00:00","2026-03-17T22:51:11.860+00:00","0"
"9","3","2026","0","0","0","0","0","0","0",,,"2026-03-19T14:14:46.162+00:00","2026-03-19T14:14:46.162+00:00","0"
